Tenant,Application Profile,Consumer Contract,Provier Contract,EPG Name,BD Name,BD GW IP,VRF Name
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,100-DC-SYNC-LBIN10-epg,100-DC-SYNC-LBIN10-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,101-DC-SYNC-LBOUT10-epg,101-DC-SYNC-LBOUT10-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,102-DC-SYNC-LBIN11-epg,102-DC-SYNC-LBIN11-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,103-DC-SYNC-LBOUT11-epg,103-DC-SYNC-LBOUT11-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,401-DC-SERVER-1-epg,401-DC-SERVER-1-bd,10.14.240.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,402-DC-SERVER-2-epg,402-DC-SERVER-2-bd,10.14.241.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,403-DC-SERVER-3-epg,403-DC-SERVER-3-bd,10.14.242.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,404-DC-SERVER-4-epg,404-DC-SERVER-4-bd,10.14.243.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,405-DCJQ-LOCAL-SERVERS-epg,405-DCJQ-LOCAL-SERVERS-bd,10.14.244.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,406-DCIX-LOCAL-SERVERS-epg,406-DCIX-LOCAL-SERVERS-bd,10.14.245.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,407-DCJQ-CITRIX-SERVERS-epg,407-DCJQ-CITRIX-SERVERS-bd,10.14.246.1/25,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,408-DCIX-CITRIX-SERVERS-epg,408-DCIX-CITRIX-SERVERS-bd,10.14.246.129/25,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,409-DC-VOICE-1-epg,409-DC-VOICE-1-bd,10.14.247.1/27,FTA-vrf
